Maker,Adv_year,Adv_month,Color,Bodytype,Runned_Miles,Engin_size,Gearbox,Fuel_type,Price,Seat_num,Door_num,issue,breakdown_date,repair_complexity,repair_cost,repair_hours,Label
Mazda,2018,7,grey,Hatchback,44750,2.2L,Manual,Diesel,10000.0,5.0,5.0,Sensor Malfunction,2018-07-13,1,560.0,3.0,0
Land Rover,2017,12,silver,SUV,116000,2.7L,Automatic,Diesel,7495.0,5.0,5.0,Electrical Issue,2017-12-19,3,44.99,1.5,0
Toyota,2018,5,gelb,MPV,36181,1.8L,Automatic,Petrol,10995.0,5.0,5.0,Tyre Alignment,2018-05-07,1,11.0995,0.5,1
Porsche,2018,5,gelb,Coupe,3290,3.0L,Automatic,Petrol,125950.0,4.0,2.0,Brake Pads Worn,2018-05-21,3,182.975,6.0,1
Ford,2018,4,white,SUV,17500,1.5L,Manual,Diesel,11430.0,5.0,5.0,Windscreen Crack,2018-04-01,1,26.858,1.0,0
Mercedes-Benz,2018,2,green,Saloon,16000,2.0L,Automatic,Diesel,24950.0,5.0,4.0,Sensor Malfunction,2018-02-08,1,1307.5,3.0,0
Citroen,2018,4,white,Hatchback,28954,1.6L,Automatic,Diesel,6998.0,5.0,5.0,Flat Tyres,2018-04-18,2,42.0994,2.0,0
Land Rover,2018,3,silver,SUV,121000,1.8L,Manual,Petrol,1290.0,5.0,3.0,Electrical Issue,2018-03-05,3,181.29,9.0,0
Fiat,2018,7,bronze,SUV,10400,2.0L,Manual,Diesel,12995.0,5.0,5.0,Starter Motor Issue,2018-07-09,1,977.980552878805,753.882013305606,1
MINI,2018,7,blue,Hatchback,55000,2.0L,Manual,Diesel,8995.0,4.0,3.0,Engine Issue,2018-07-08,2,1989.25,32.0,0
Audi,2018,5,red,Convertible,48800,3.0L,Automatic,Petrol,15995.0,4.0,2.0,Windscreen Crack,2018-05-03,1,29.597,1.0,0
MINI,2018,5,white,Coupe,15000,1.6L,Manual,Petrol,9495.0,2.0,2.0,Sensor Malfunction,2018-05-12,2,594.75,6.0,0
Volkswagen,2018,7,grey,Saloon,72372,2.0L,Manual,Diesel,9800.0,5.0,4.0,Windscreen Crack,2018-07-05,1,25.88,1.0,0
Vauxhall,2018,8,black,SUV,96500,2.2L,Manual,Diesel,4995.0,5.0,5.0,Flat Tyres,2018-08-08,1,105.55094265349,1.0,1
Audi,2016,12,white,Hatchback,129501,1.4L,Manual,Petrol,6350.0,5.0,5.0,Starter Motor Issue,2016-12-22,1,123.5,3.0,0
BMW,2018,7,black,SUV,14,3.0L,Automatic,Diesel,47930.0,5.0,5.0,Warning Light,2018-07-28,1,659.3,9.0,0
Toyota,2018,6,bronze,Hatchback,13870,1.6L,Automatic,Petrol,8990.0,5.0,5.0,Engine Issue,2018-06-11,1,1139.0,12.0,0
Peugeot,2018,8,black,Hatchback,49000,1.0L,Manual,Petrol,2995.0,4.0,3.0,Excessive Emissions,2018-08-19,1,22.6955,1.0,0
Vauxhall,2018,1,black,Hatchback,90000,1.4L,Manual,Petrol,2895.0,5.0,5.0,Electrical Issue,2018-01-16,1,42.895,2.0,0
Audi,2018,7,silver,SUV,90984,2.0L,Automatic,Diesel,12990.0,5.0,5.0,Windscreen Crack,2018-07-23,1,27.794,1.0,0
Citroen,2018,4,silver,Hatchback,12,1.2L,Manual,Petrol,11990.0,5.0,5.0,Brake Pads Worn,2018-04-20,2,85.995,4.0,0
Bentley,2018,1,black,Coupe,54000,6.0L,Automatic,Petrol,28750.0,4.0,2.0,Alternator Failing,2018-01-10,3,695.0,6.0,0
Volvo,2018,3,bronze,Hatchback,27756,1.6L,Manual,Petrol,12000.0,5.0,5.0,Gear Box Issue,2018-03-19,3,1064.81447456241,6.0,1
BMW,2018,7,blue,SUV,46000,3.0L,Automatic,Diesel,17495.0,5.0,5.0,Starter Motor Issue,2018-07-03,1,234.95,3.0,0
Mazda,2018,7,silver,Hatchback,107000,1.6L,Manual,Diesel,3690.0,5.0,5.0,Radiator Leaking,2018-07-14,1,113.8,2.0,0
Ford,2021,5,silver,MPV,4117,1.5L,Automatic,Petrol,12999.0,5.0,5.0,Brake Pads Worn,2021-05-10,1,46.4995,2.0,0
Nissan,2018,3,black,Hatchback,106000,1.4L,Manual,Petrol,1699.0,5.0,5.0,Tyre Alignment,2018-03-19,1,10.1699,0.5,0
SEAT,2018,5,silver,Hatchback,82000,1.2L,Manual,Diesel,3995.0,5.0,3.0,Excessive Emissions,2018-05-06,2,216.07573054329,170.806569792077,1
Vauxhall,2018,5,gelb,Hatchback,5431,1.0L,Manual,Petrol,6995.0,18.0,5.0,Brake Pads Worn,2018-05-19,1,43.4975,2.0,1
Nissan,2018,5,gelb,SUV,15079,1.5L,Manual,Diesel,10870.0,5.0,5.0,Excessive Emissions,2018-05-10,1,29.783,1.0,1
Vauxhall,2018,5,silver,SUV,20,1.4L,Manual,Petrol,16745.0,5.0,5.0,Gear Box Issue,2018-05-15,1,207.45,2.0,0
Maserati,2018,4,gelb,SUV,7500,3.0L,Automatic,Diesel,48950.0,5.0,5.0,Tyre Alignment,2018-04-01,4,44.895,2.0,1
BMW,2018,5,grey,SUV,19097,3.0L,Automatic,Diesel,37241.0,7.0,5.0,Flat Tyres,2018-05-27,1,31.1723,1.0,0
Volkswagen,2018,1,gelb,Hatchback,3000,1.0L,Manual,Petrol,7750.0,4.0,5.0,Engine Issue,2018-01-08,1,587.5,10.0,1
Toyota,2018,4,white,Pickup,47233,2.5L,Manual,Diesel,10788.0,12.0,2.0,Brake Pads Worn,2018-04-14,1,45.394,2.0,1
BMW,2017,12,grey,Coupe,6606,2.0L,Manual,Diesel,21000.0,4.0,2.0,Radiator Leaking,2017-12-25,1,460.0,2.0,0
Vauxhall,2018,4,gelb,Hatchback,67000,1.4L,Manual,Petrol,2995.0,5.0,3.0,Engine Issue,2018-04-10,1,759.0,8.0,1
Vauxhall,2018,7,black,Hatchback,30000,1.4L,Manual,Petrol,8362.0,5.0,3.0,Excessive Emissions,2018-07-21,1,27.5258,1.0,0
Audi,2018,4,blue,SUV,50000,3.0L,Automatic,Diesel,23950.0,5.0,5.0,Tyre Alignment,2018-04-06,1,12.395,0.5,0
Volkswagen,2018,7,white,Saloon,44800,2.0L,Manual,Diesel,12066.0,5.0,4.0,Starter Motor Issue,2018-07-16,1,180.66,3.0,0
Audi,2021,4,blue,SUV,29897,1.5L,Automatic,Petrol,23480.0,5.0,5.0,Sensor Malfunction,2021-04-03,1,1234.0,3.0,0
Peugeot,2018,4,silver,Estate,140000,2.0L,Manual,Diesel,750.0,5.0,5.0,Steering Wheel Shaking,2018-04-05,1,20.75,1.0,0
Ford,2018,8,blue,Hatchback,132000,1.6L,Automatic,Petrol,990.0,5.0,5.0,Transmission Issue,2018-08-15,1,168.91,8.0,0
Hyundai,2018,4,white,Hatchback,1300,1.2L,Manual,Petrol,13695.0,5.0,5.0,Steering Wheel Shaking,2018-04-19,1,33.695,1.0,0
Citroen,2018,4,silver,MPV,36845,1.6L,Manual,Diesel,9995.0,7.0,5.0,Steering Wheel Shaking,2018-04-28,2,49.995,2.0,0
Renault,2018,8,silver,Hatchback,111000,1.6L,Manual,Petrol,995.0,5.0,5.0,Gear Box Issue,2018-08-11,1,49.95,2.0,0
Mercedes-Benz,2018,4,purple,Hatchback,59000,1.5L,Automatic,Diesel,10995.0,5.0,5.0,Transmission Issue,2018-04-17,1,112.985,4.0,0
BMW,2018,7,blue,Saloon,101000,2.0L,Automatic,Diesel,8500.0,5.0,4.0,Excessive Emissions,2018-07-04,1,27.65,1.0,0
Citroen,2018,4,red,Hatchback,20442,1.6L,Manual,Diesel,8495.0,5.0,5.0,Gear Box Issue,2018-04-06,2,164.95,4.0,0
Toyota,2018,8,white,SUV,1940,1.8L,Automatic,Hybrid  Petrol/Electric,20994.0,5.0,5.0,Engine Issue,2018-08-01,1,3469.1,16.0,0
BMW,2018,7,white,SUV,10000,2.0L,Automatic,Diesel,25499.0,5.0,5.0,Flat Tyres,2018-07-08,1,27.6497,1.0,0
Vauxhall,2017,10,blue,Hatchback,3510,1.2L,Manual,Petrol,13000.0,4.0,3.0,Transmission Issue,2017-10-07,1,151.0,3.0,0
Audi,2018,8,grey,Convertible,105000,2.5L,Automatic,Diesel,2950.0,4.0,2.0,Brake Pads Worn,2018-08-07,1,41.475,2.0,0
Volkswagen,2018,6,white,Hatchback,22481,1.2L,Manual,Petrol,10840.0,4.0,3.0,Windscreen Crack,2018-06-12,1,26.504,1.0,0
Kia,2018,4,black,Hatchback,61310,1.6L,Manual,Diesel,6969.0,5.0,5.0,Radiator Leaking,2018-04-26,1,179.38,2.0,0
Porsche,2018,5,silver,Coupe,45000,3.8L,Automatic,Petrol,56975.0,4.0,2.0,Tyre Alignment,2018-05-05,3,35.6975,1.5,0
Nissan,2018,6,red,SUV,25580,1.5L,Manual,Diesel,7990.0,5.0,5.0,Engine Issue,2018-06-21,1,1039.0,12.0,0
Volkswagen,2018,8,brown,SUV,-1398,1.5L,Manual,Petrol,23990.0,5.0,5.0,Warning Light,2018-08-05,1,419.9,9.0,1
Mitsubishi,2018,4,black,Convertible,60000,1.5L,Manual,Petrol,999.0,5.0,2.0,Steering Wheel Shaking,2018-04-20,1,20.999,1.0,0
Honda,2018,5,black,MPV,107000,2.0L,Manual,Petrol,2190.0,6.0,5.0,Radiator Leaking,2018-05-01,1,287.281530507258,2.0,1
Vauxhall,2018,6,gelb,Hatchback,138000,1.7L,Manual,Diesel,600.0,5.0,3.0,Transmission Issue,2018-06-04,1,165.4,8.0,1
Volvo,2018,2,blue,Coupe,173000,2.0L,Manual,Diesel,3490.0,4.0,2.0,Excessive Emissions,2018-02-24,3,63.141,3.0,0
Honda,2018,7,silver,SUV,10070,1.6L,Manual,Diesel,24695.0,5.0,5.0,Radiator Leaking,2018-07-13,1,533.9,2.0,0
Kia,2018,8,black,SUV,5083,1.6L,Automatic,Hybrid  Petrol/Electric,20495.0,5.0,5.0,Starter Motor Issue,2018-08-19,1,264.95,3.0,0
Fiat,2018,8,blue,Hatchback,20253,1.2L,Manual,Petrol,6999.0,4.0,3.0,Flat Tyres,2018-08-16,1,22.0997,1.0,0
Jaguar,2018,3,black,Saloon,15687,2.0L,Manual,Diesel,17990.0,5.0,4.0,Gear Box Issue,2018-03-08,3,299.9,6.0,0
Lexus,2018,5,white,SUV,66139,3.5L,Automatic,Hybrid  Petrol/Electric,15990.0,5.0,5.0,Warning Light,2018-05-02,1,339.9,9.0,0
Ford,2018,8,purple,Hatchback,47000,1.25L,Manual,Petrol,2490.0,5.0,5.0,Engine Issue,2018-08-05,1,489.0,12.0,0
Ford,2018,5,grey,Hatchback,115000,1.5L,Manual,Diesel,4250.0,5.0,5.0,Warning Light,2018-05-23,1,222.5,9.0,0
SKODA,2018,3,brown,Estate,28277,2.0L,Manual,Diesel,14295.0,5.0,5.0,Brake Pads Worn,2018-03-13,1,243.951109863783,2.0,1
Honda,2018,8,grey,Hatchback,154000,1.4L,Manual,Petrol,400.0,5.0,5.0,Steering Wheel Shaking,2018-08-05,1,20.4,1.0,0
Mercedes-Benz,2018,4,white,SUV,14,2.1L,Automatic,Diesel,31490.0,5.0,5.0,Alternator Failing,2018-04-28,1,669.8,2.0,0
Audi,2018,7,blue,Hatchback,13225,1.6L,Manual,Diesel,15685.0,5.0,5.0,Tyre Alignment,2018-07-13,1,11.5685,0.5,0
Fiat,2018,5,grey,Hatchback,74133,1.2L,Manual,Petrol,1991.0,4.0,5.0,Brake Pads Worn,2018-05-28,1,40.9955,2.0,0
Mercedes-Benz,2018,4,grey,Saloon,57078,2.1L,Automatic,Diesel,6989.0,5.0,4.0,Engine Issue,2018-04-14,1,549.45,10.0,0
Saab,2018,2,gelb,Estate,99740,1.9L,Manual,Diesel,2790.0,5.0,5.0,Radiator Leaking,2018-02-21,2,135.8,4.0,1
Audi,2018,6,black,Saloon,2897,3.0L,Automatic,Diesel,49980.0,5.0,4.0,Brake Pads Worn,2018-06-22,1,64.99,2.0,0
Audi,2018,4,white,Coupe,106000,2.0L,Manual,Diesel,8975.0,4.0,2.0,Brake Pads Worn,2018-04-02,1,44.4875,2.0,0
BMW,2018,4,black,Convertible,24000,2.5L,Manual,Petrol,12950.0,2.0,2.0,Excessive Emissions,2018-04-06,1,31.655,1.0,0
Volkswagen,2018,7,white,Hatchback,27000,1.4L,Manual,Petrol,10340.0,5.0,5.0,Windscreen Crack,2018-07-27,1,147.076955083913,1.0,1
Vauxhall,2018,3,blue,MPV,85000,1.4L,Manual,Petrol,2490.0,5.0,5.0,Sensor Malfunction,2018-03-08,1,184.5,3.0,0
Honda,2018,8,silver,Hatchback,85000,1.4L,Automatic,Petrol,2995.0,5.0,5.0,Tyre Alignment,2018-08-02,1,10.2995,0.5,0
Audi,2018,1,gelb,SUV,1522,2.0L,Automatic,Petrol,38000.0,5.0,5.0,Flat Tyres,2018-01-11,1,31.4,1.0,1
Vauxhall,2018,4,blue,Hatchback,23435,1.4L,Manual,Petrol,6949.0,4.0,3.0,Gear Box Issue,2018-04-10,1,109.49,2.0,0
Kia,2018,3,white,Hatchback,28980,1.25L,Manual,Petrol,5700.0,5.0,5.0,Transmission Issue,2018-03-26,1,97.1,4.0,0
MINI,2017,10,red,Coupe,53000,1.6L,Manual,Petrol,7481.0,2.0,2.0,Radiator Leaking,2017-10-24,2,229.62,4.0,0
Subaru,2018,2,blue,Saloon,55000,2.0L,Manual,Petrol,24895.0,5.0,2.0,Brake Pads Worn,2018-02-28,3,132.4475,6.0,0
Vauxhall,2018,4,red,MPV,94000,1.3L,Manual,Diesel,1299.0,5.0,5.0,Sensor Malfunction,2018-04-27,1,124.95,3.0,0
Vauxhall,2018,3,silver,Hatchback,22979,1.7L,Manual,Diesel,9711.0,5.0,5.0,Windscreen Crack,2018-03-07,1,25.8266,1.0,0
Ssangyong,2018,2,blue,SUV,1,1.6L,Automatic,Diesel,20950.0,5.0,5.0,Electrical Issue,2018-02-05,2,142.85,4.0,0
Ssangyong,2018,6,white,SUV,14705,1.6L,Automatic,Diesel,13345.0,5.0,5.0,Starter Motor Issue,2018-06-27,2,253.45,6.0,0
Volkswagen,2018,5,white,Hatchback,67110,1.4L,Manual,Petrol,5940.0,5.0,5.0,Steering Wheel Shaking,2018-05-07,1,25.94,1.0,0
Audi,2018,4,blue,Saloon,77400,4.2L,Manual,Petrol,16000.0,19.0,4.0,Tyre Alignment,2018-04-22,1,11.6,0.5,1
Ford,2018,5,white,Hatchback,45000,1.2L,Manual,Petrol,4250.0,4.0,3.0,Warning Light,2018-05-17,1,222.5,9.0,0
BMW,2018,4,grey,Saloon,117000,3.0L,Automatic,Diesel,-346516.0,5.0,4.0,Alternator Failing,2018-04-02,1,-1263.0,2.0,1
Peugeot,2018,1,black,Convertible,59000,1.6L,Manual,Petrol,2500.0,4.0,2.0,Gear Box Issue,2018-01-18,1,255.50854664883,237.685526571798,1
Jaguar,2018,5,bronze,Saloon,7024,3.0L,Automatic,Petrol,31297.0,5.0,4.0,Starter Motor Issue,2018-05-28,3,492.97,9.0,0
Toyota,2018,8,red,Estate,21219,1.4L,Manual,Diesel,10300.0,5.0,5.0,Flat Tyres,2018-08-12,1,23.09,1.0,0
Ford,2018,7,blue,Hatchback,69900,1.2L,Manual,Petrol,2645.0,4.0,3.0,Flat Tyres,2018-07-15,1,20.7935,1.0,0
Kia,2021,4,grey,SUV,12237,1.6L,Manual,Petrol,18699.0,5.0,5.0,Flat Tyres,2021-04-12,1,25.6097,1.0,0
Mercedes-Benz,2018,3,green,Hatchback,9056,2.0L,Manual,Petrol,20987.0,5.0,5.0,Starter Motor Issue,2018-03-25,1,269.87,3.0,0
BMW,2021,5,silver,Estate,6691,3.0L,Automatic,Petrol,32350.0,5.0,5.0,Steering Wheel Shaking,2021-05-18,1,52.35,1.0,0
Ford,2018,5,white,SUV,50,2.0L,Automatic,Diesel,34495.0,5.0,5.0,Steering Wheel Shaking,2018-05-10,1,54.495,1.0,0
Dacia,2018,8,orange,SUV,10,1.6L,Manual,Petrol,15989.0,5.0,5.0,Warning Light,2018-08-25,1,339.89,9.0,0
Nissan,2021,4,red,SUV,11880,1.3L,Manual,Petrol,16995.0,5.0,5.0,Warning Light,2021-04-07,1,349.95,9.0,0
Hyundai,2018,2,black,MPV,14789,1.4L,Manual,Petrol,9695.0,5.0,5.0,Tyre Alignment,2018-02-15,1,10.9695,0.5,0
Jaguar,2018,2,blue,Saloon,88000,2.0L,Manual,Diesel,1990.0,5.0,4.0,Sensor Malfunction,2018-02-15,3,279.5,9.0,0
BMW,2018,7,white,SUV,10,2.0L,Automatic,Petrol,37875.0,5.0,5.0,Engine Issue,2018-07-13,1,7735.0,8.0,0
Audi,2018,4,black,Hatchback,79763,2.0L,Manual,Diesel,10444.0,4.0,5.0,Gear Box Issue,2018-04-10,1,144.44,2.0,0
Toyota,2018,4,grey,Hatchback,78300,1.6L,Manual,Petrol,4195.0,5.0,5.0,Radiator Leaking,2018-04-09,1,123.9,2.0,0
Jaguar,2018,2,white,SUV,40800,2.0L,Automatic,Diesel,32495.0,5.0,5.0,Transmission Issue,2018-02-08,3,337.485,12.0,0
Vauxhall,2018,8,grey,Hatchback,35861,1.4L,Manual,Petrol,5350.0,5.0,5.0,Starter Motor Issue,2018-08-15,1,113.5,3.0,0
Audi,2018,4,gelb,Convertible,26895,1.2L,Manual,Petrol,10284.0,4.0,2.0,Radiator Leaking,2018-04-04,1,245.68,2.0,1
Land Rover,2018,8,silver,SUV,7000,3.0L,Automatic,Diesel,74671.0,5.0,5.0,Tyre Alignment,2018-08-12,3,37.4671,1.5,0
Land Rover,2018,7,black,SUV,95000,2.7L,Automatic,Diesel,8200.0,5.0,5.0,Flat Tyres,2018-07-16,3,62.46,3.0,0
SKODA,2018,7,black,Hatchback,66000,1.6L,Manual,Diesel,6995.0,10.0,0.0,Sensor Malfunction,2018-07-10,1,1978.64501866777,3.0,1
Audi,2018,1,gelb,Convertible,72281,2.0L,Manual,Diesel,5995.0,4.0,2.0,Engine Issue,2018-01-16,1,1219.25,16.0,1
Smart,2018,5,grey,Hatchback,4500,0.9L,Automatic,Petrol,8990.0,4.0,5.0,Tyre Alignment,2018-05-23,1,10.899,0.5,0
Kia,2018,5,grey,Hatchback,40765,1.4L,Manual,Petrol,6795.0,5.0,5.0,Tyre Alignment,2018-05-13,1,10.6795,0.5,0
SEAT,2018,5,grey,Hatchback,51000,1.2L,Manual,Petrol,4595.0,5.0,3.0,Flat Tyres,2018-05-15,2,41.3785,2.0,0
Fiat,2018,7,black,Hatchback,15183,1.2L,Manual,Petrol,7300.0,4.0,3.0,Alternator Failing,2018-07-27,1,186.0,2.0,0
Vauxhall,2018,5,gelb,MPV,16989,1.4L,Manual,Petrol,7881.0,5.0,5.0,Engine Issue,2018-05-15,1,1736.2,8.0,1
Vauxhall,2018,7,blue,Hatchback,39350,1.4L,Automatic,Petrol,5799.0,5.0,5.0,Tyre Alignment,2018-07-10,1,10.5799,0.5,0
Volvo,2018,7,silver,Estate,105000,1.6L,Manual,Diesel,5355.0,5.0,5.0,Excessive Emissions,2018-07-25,3,64.8195,3.0,0
Vauxhall,2018,5,grey,Estate,72575,2.0L,Automatic,Diesel,4990.0,5.0,5.0,Starter Motor Issue,2018-05-18,1,109.9,3.0,0
Toyota,2018,8,red,SUV,4000,1.8L,Automatic,Hybrid  Petrol/Electric,23495.0,5.0,5.0,Steering Wheel Shaking,2018-08-10,1,43.495,1.0,0
Isuzu,2018,3,gelb,Pickup,50103,2.5L,Manual,Diesel,16194.0,5.0,4.0,Engine Issue,2018-03-08,2,3558.8,16.0,1
BMW,2018,8,blue,SUV,59967,3.0L,Automatic,Diesel,25990.0,5.0,5.0,Transmission Issue,2018-08-16,1,157.97,4.0,0
Audi,2021,4,white,Hatchback,11551,1.0L,Manual,Petrol,17760.0,5.0,5.0,Starter Motor Issue,2021-04-25,1,237.6,3.0,0
Citroen,2018,7,gelb,Hatchback,104730,1.6L,Manual,Diesel,2695.0,5.0,5.0,Tyre Alignment,2018-07-04,2,20.2695,1.0,1
Vauxhall,2018,5,white,MPV,50250,1.7L,Manual,Diesel,4790.0,5.0,5.0,Gear Box Issue,2018-05-26,1,87.9,2.0,0
Renault,2018,4,black,SUV,5639,1.2L,Manual,Petrol,13750.0,5.0,5.0,Electrical Issue,2018-04-07,1,306.515974305237,186.521371397581,1
Lexus,2021,5,black,SUV,9935,3.5L,Automatic,Petrol Hybrid,38000.0,5.0,5.0,Transmission Issue,2021-05-12,1,326.0,3.0,0
Audi,2018,3,black,Saloon,3811,4.2L,Automatic,Diesel,40000.0,5.0,4.0,Transmission Issue,2018-03-23,1,340.0,3.0,0
Land Rover,2018,3,black,SUV,13088,3.0L,Automatic,Diesel,47861.0,5.0,5.0,Starter Motor Issue,2018-03-15,3,658.61,9.0,0
Peugeot,2018,6,black,SUV,8586,1.6L,Manual,Diesel,14469.0,5.0,5.0,Steering Wheel Shaking,2018-06-12,1,34.469,1.0,0
Fiat,2018,7,white,SUV,32535,1.6L,Manual,Petrol,7990.0,5.0,5.0,Sensor Malfunction,2018-07-01,1,459.5,3.0,0
BMW,2018,5,black,SUV,37000,2.0L,Manual,Diesel,20750.0,5.0,5.0,Radiator Leaking,2018-05-06,1,455.0,2.0,0
Toyota,2018,6,black,Pickup,80335,3.0L,Automatic,Diesel,11628.0,5.0,4.0,Starter Motor Issue,2018-06-17,1,176.28,3.0,0
Hyundai,2018,3,red,Hatchback,47000,1.4L,Manual,Petrol,3995.0,5.0,5.0,Starter Motor Issue,2018-03-19,1,99.95,3.0,0
Volvo,2018,8,white,SUV,33614,2.0L,Manual,Diesel,19900.0,5.0,5.0,Brake Pads Worn,2018-08-12,3,129.95,6.0,0
Volkswagen,2018,7,silver,Hatchback,80000,1.0L,Manual,Petrol,4495.0,4.0,3.0,Engine Issue,2018-07-23,1,994.25,16.0,0
Toyota,2018,7,black,Pickup,13160,2.4L,Automatic,Diesel,25824.0,5.0,4.0,Tyre Alignment,2018-07-15,1,12.5824,0.5,0
Land Rover,2018,7,black,SUV,58542,4.2L,Automatic,Petrol,12376.0,5.0,5.0,Electrical Issue,2018-07-02,3,132.376,6.0,0
Volkswagen,2018,6,grey,Saloon,83000,2.0L,Automatic,Diesel,10000.0,5.0,4.0,Excessive Emissions,2018-06-10,1,29.0,1.0,0
Jaguar,2018,5,blue,Estate,3500,5.0L,Automatic,Petrol,64995.0,5.0,5.0,Tyre Alignment,2018-05-10,3,36.4995,1.5,0
Saab,2018,6,black,Estate,80000,1.9L,Manual,Diesel,5832.0,5.0,5.0,Steering Wheel Shaking,2018-06-26,2,45.832,2.0,0
Maserati,2018,4,white,Saloon,15000,3.0L,Automatic,Diesel,29780.0,5.0,4.0,Tyre Alignment,2018-04-12,4,42.978,2.0,0
Vauxhall,2018,6,black,Hatchback,63000,1.2L,Manual,Petrol,2995.0,5.0,5.0,Steering Wheel Shaking,2018-06-26,1,22.995,1.0,0
Nissan,2018,7,black,SUV,12870,1.5L,Manual,Diesel,12330.0,5.0,5.0,Radiator Leaking,2018-07-16,1,1181.89351225847,1135.72361398081,1
Peugeot,2018,2,white,Hatchback,31319,1.2L,Manual,Petrol,10695.0,5.0,5.0,Excessive Emissions,2018-02-07,1,29.6255,1.0,0
Hyundai,2021,3,black,Hatchback,15972,1.0L,Manual,Petrol,6990.0,5.0,5.0,Alternator Failing,2021-03-22,1,179.8,2.0,0
Vauxhall,2018,6,gelb,MPV,106935,1.6L,Manual,Petrol,1595.0,7.0,5.0,Steering Wheel Shaking,2018-06-12,1,21.595,1.0,1
Ford,2018,4,yellow,SUV,15486,1.5L,Manual,Diesel,9799.0,5.0,5.0,Tyre Alignment,2018-04-26,1,10.9799,0.5,0
Fiat,2018,5,red,Hatchback,30540,1.2L,Manual,Petrol,6800.0,4.0,3.0,Electrical Issue,2018-05-01,1,23.6,0.5,0
Jaguar,2018,2,white,Saloon,31000,3.0L,Automatic,Diesel,21950.0,5.0,4.0,Excessive Emissions,2018-02-13,3,79.755,3.0,0
Land Rover,2018,7,black,SUV,8200,2.2L,Manual,Diesel,48000.0,5.0,5.0,Alternator Failing,2018-07-28,3,1080.0,6.0,0
Volkswagen,2018,5,blue,Hatchback,23177,1.0L,Manual,Petrol,5900.0,4.0,5.0,Alternator Failing,2018-05-01,1,158.0,2.0,0
Jaguar,2018,8,grey,Saloon,46750,3.0L,Automatic,Diesel,15400.0,5.0,4.0,Tyre Alignment,2018-08-10,3,31.54,1.5,0
Audi,2018,4,white,Estate,84800,3.0L,Manual,Diesel,13550.0,5.0,5.0,Brake Pads Worn,2018-04-12,1,46.775,2.0,0
Volvo,2018,7,grey,Estate,140000,2.0L,Manual,Diesel,3185.0,5.0,5.0,Alternator Failing,2018-07-04,3,183.7,6.0,0
BMW,2018,6,grey,SUV,12586,3.0L,Automatic,Diesel,44493.0,7.0,5.0,Flat Tyres,2018-06-06,1,33.3479,1.0,0
MINI,2018,4,blue,Hatchback,93849,1.6L,Manual,Petrol,2299.0,4.0,3.0,Flat Tyres,2018-04-05,2,40.6897,2.0,0
Volkswagen,2018,6,grey,Convertible,84000,2.0L,Manual,Diesel,4485.0,4.0,2.0,Radiator Leaking,2018-06-15,1,129.7,2.0,0
Nissan,2018,6,grey,Hatchback,38000,2.0L,Automatic,Petrol,7290.0,5.0,5.0,Gear Box Issue,2018-06-10,1,112.9,2.0,0
Ford,2018,6,silver,Hatchback,24647,1.2L,Manual,Petrol,7695.0,5.0,5.0,Sensor Malfunction,2018-06-11,1,444.75,3.0,0
Isuzu,2018,5,black,Pickup,92000,3.0L,Manual,Diesel,8950.0,5.0,4.0,Alternator Failing,2018-05-09,2,259.0,4.0,0
Land Rover,2018,5,black,SUV,67000,3.0L,Automatic,Diesel,24495.0,7.0,5.0,Brake Pads Worn,2018-05-07,3,132.2475,6.0,0
Lexus,2020,6,black,Saloon,7000,2.5L,Automatic,Petrol Hybrid,23936.0,5.0,4.0,Flat Tyres,2020-06-02,1,27.1808,1.0,0
Toyota,2018,7,white,Pickup,6376,2.4L,Manual,Diesel,20988.0,5.0,5.0,Windscreen Crack,2018-07-12,1,32.5928,1.0,0
Vauxhall,2018,7,black,MPV,85000,1.3L,Manual,Diesel,3147.0,5.0,5.0,Electrical Issue,2018-07-20,1,49.441,2.0,0
Citroen,2018,7,orange,SUV,7064,1.2L,Automatic,Petrol,15944.0,5.0,5.0,Windscreen Crack,2018-07-03,2,49.5664,2.0,0
Nissan,2018,3,blue,SUV,24054,1.6L,Manual,Diesel,14998.0,5.0,5.0,Alternator Failing,2018-03-21,1,339.96,2.0,0
Vauxhall,2018,8,red,Hatchback,88000,1.3L,Manual,Diesel,2950.0,5.0,5.0,Engine Issue,2018-08-08,1,535.0,12.0,0
BMW,2018,5,white,Coupe,13000,1.5L,Automatic,Petrol,18990.0,4.0,2.0,Transmission Issue,2018-05-02,1,192.93,3.0,0
Audi,2018,8,red,Coupe,95202,3.2L,Manual,Petrol,6995.0,4.0,3.0,Warning Light,2018-08-06,1,249.95,9.0,0
Land Rover,2018,1,red,SUV,47000,3.0L,Automatic,Hybrid  Diesel/Electric,54995.0,5.0,5.0,Gear Box Issue,2018-01-09,3,669.95,6.0,0
Citroen,2018,8,grey,Hatchback,28711,1.6L,Manual,Diesel,8270.0,5.0,5.0,Alternator Failing,2018-08-21,2,245.4,4.0,0
Vauxhall,2018,5,grey,Hatchback,13424,1.4L,Manual,Petrol,8995.0,5.0,5.0,Brake Pads Worn,2018-05-23,1,44.4975,2.0,0
BMW,2018,2,blue,SUV,117000,3.0L,Automatic,Diesel,4790.0,5.0,5.0,Windscreen Crack,2018-02-05,1,22.874,1.0,0
